rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,description
134,nickyjampr,81,10.0k,43.4m,381.6k,0.33%,139.3k,3.8b,Colombia,"Influencer nickyjampr from Colombia has 43.4m followers and an influence score of 81. They have posted 10.0k times, average 381.6k likes per post, and maintain an engagement rate of 0.33%%. Their latest posts average around 139.3k likes in total."
135,buzzfeedtasty,85,8.9k,43.2m,65.1k,0.02%,7.7k,580.7m,Spain,"Influencer buzzfeedtasty from Spain has 43.2m followers and an influence score of 85. They have posted 8.9k times, average 65.1k likes per post, and maintain an engagement rate of 0.02%%. Their latest posts average around 7.7k likes in total."
136,brunamarquezine,84,3.0k,43.1m,969.7k,1.05%,444.2k,2.9b,United States,"Influencer brunamarquezine from United States has 43.1m followers and an influence score of 84. They have posted 3.0k times, average 969.7k likes per post, and maintain an engagement rate of 1.05%%. Their latest posts average around 444.2k likes in total."
137,caradelevingne,86,4.4k,42.9m,790.2k,0.43%,181.0k,3.5b,United States,"Influencer caradelevingne from United States has 42.9m followers and an influence score of 86. They have posted 4.4k times, average 790.2k likes per post, and maintain an engagement rate of 0.43%%. Their latest posts average around 181.0k likes in total."
138,kapilsharma,83,0.95k,42.2m,736.4k,1.49%,624.5k,710.7m,N/A,"Influencer kapilsharma from N/A has 42.2m followers and an influence score of 83. They have posted 0.95k times, average 736.4k likes per post, and maintain an engagement rate of 1.49%%. Their latest posts average around 624.5k likes in total."
139,badbunnypr,83,0.01k,42.1m,3.7m,13.09%,5.4m,67.5m,N/A,"Influencer badbunnypr from N/A has 42.1m followers and an influence score of 83. They have posted 0.01k times, average 3.7m likes per post, and maintain an engagement rate of 13.09%%. Their latest posts average around 5.4m likes in total."
140,britneyspears,80,3.0k,42.1m,513.1k,0.55%,221.7k,1.6b,Turkey,"Influencer britneyspears from Turkey has 42.1m followers and an influence score of 80. They have posted 3.0k times, average 513.1k likes per post, and maintain an engagement rate of 0.55%%. Their latest posts average around 221.7k likes in total."
141,j.m,83,0.02k,41.9m,14.2m,26.41%,11.0m,368.1m,N/A,"Influencer j.m from N/A has 41.9m followers and an influence score of 83. They have posted 0.02k times, average 14.2m likes per post, and maintain an engagement rate of 26.41%%. Their latest posts average around 11.0m likes in total."
142,mariliamendoncacantora,73,1.4k,41.8m,1.0m,1.98%,818.6k,1.5b,Brazil,"Influencer mariliamendoncacantora from Brazil has 41.8m followers and an influence score of 73. They have posted 1.4k times, average 1.0m likes per post, and maintain an engagement rate of 1.98%%. Their latest posts average around 818.6k likes in total."
143,norafatehi,83,1.7k,41.6m,1.4m,1.76%,727.5k,2.3b,Anguilla,"Influencer norafatehi from Anguilla has 41.6m followers and an influence score of 83. They have posted 1.7k times, average 1.4m likes per post, and maintain an engagement rate of 1.76%%. Their latest posts average around 727.5k likes in total."
144,theweeknd,83,0.67k,41.5m,1.1m,3.97%,1.6m,767.0m,N/A,"Influencer theweeknd from N/A has 41.5m followers and an influence score of 83. They have posted 0.67k times, average 1.1m likes per post, and maintain an engagement rate of 3.97%%. Their latest posts average around 1.6m likes in total."
145,dior,85,9.7k,41.5m,88.8k,0.16%,63.6k,863.0m,N/A,"Influencer dior from N/A has 41.5m followers and an influence score of 85. They have posted 9.7k times, average 88.8k likes per post, and maintain an engagement rate of 0.16%%. Their latest posts average around 63.6k likes in total."
146,ranveersingh,85,1.8k,40.8m,1.0m,0.76%,299.3k,1.8b,Switzerland,"Influencer ranveersingh from Switzerland has 40.8m followers and an influence score of 85. They have posted 1.8k times, average 1.0m likes per post, and maintain an engagement rate of 0.76%%. Their latest posts average around 299.3k likes in total."
147,marinaruybarbosa,81,2.1k,40.7m,586.4k,0.01%,0,1.2b,Brazil,"Influencer marinaruybarbosa from Brazil has 40.7m followers and an influence score of 81. They have posted 2.1k times, average 586.4k likes per post, and maintain an engagement rate of 0.01%%. Their latest posts average around 0 likes in total."
148,jenniferaniston,85,0.09k,40.7m,4.6m,1.88%,731.0k,452.0m,N/A,"Influencer jenniferaniston from N/A has 40.7m followers and an influence score of 85. They have posted 0.09k times, average 4.6m likes per post, and maintain an engagement rate of 1.88%%. Their latest posts average around 731.0k likes in total."
149,addisonraee,85,0.30k,40.1m,3.1m,2.49%,994.4k,957.9m,N/A,"Influencer addisonraee from N/A has 40.1m followers and an influence score of 85. They have posted 0.30k times, average 3.1m likes per post, and maintain an engagement rate of 2.49%%. Their latest posts average around 994.4k likes in total."
150,andresiniesta8,85,2.0k,40.0m,250.8k,0.41%,161.7k,500.5m,Spain,"Influencer andresiniesta8 from Spain has 40.0m followers and an influence score of 85. They have posted 2.0k times, average 250.8k likes per post, and maintain an engagement rate of 0.41%%. Their latest posts average around 161.7k likes in total."
151,princessyahrini,81,4.5k,40.0m,118.3k,0.22%,87.4k,529.9m,Indonesia,"Influencer princessyahrini from Indonesia has 40.0m followers and an influence score of 81. They have posted 4.5k times, average 118.3k likes per post, and maintain an engagement rate of 0.22%%. Their latest posts average around 87.4k likes in total."
152,liverpoolfc,75,10.0k,39.9m,346.7k,0.42%,162.9k,3.5b,United Kingdom,"Influencer liverpoolfc from United Kingdom has 39.9m followers and an influence score of 75. They have posted 10.0k times, average 346.7k likes per post, and maintain an engagement rate of 0.42%%. Their latest posts average around 162.9k likes in total."
153,teddysphotos,80,2.3k,39.9m,715.5k,0.46%,181.1k,1.7b,United States,"Influencer teddysphotos from United States has 39.9m followers and an influence score of 80. They have posted 2.3k times, average 715.5k likes per post, and maintain an engagement rate of 0.46%%. Their latest posts average around 181.1k likes in total."
154,worldstar,78,11.6k,39.2m,157.4k,0.23%,84.4k,1.8b,United States,"Influencer worldstar from United States has 39.2m followers and an influence score of 78. They have posted 11.6k times, average 157.4k likes per post, and maintain an engagement rate of 0.23%%. Their latest posts average around 84.4k likes in total."
155,natashawilona12,84,1.2k,39.2m,486.5k,0.59%,227.7k,563.9m,N/A,"Influencer natashawilona12 from N/A has 39.2m followers and an influence score of 84. They have posted 1.2k times, average 486.5k likes per post, and maintain an engagement rate of 0.59%%. Their latest posts average around 227.7k likes in total."
156,mahi7781,58,0.10k,39.1m,4.1m,0.17%,0,439.4m,N/A,"Influencer mahi7781 from N/A has 39.1m followers and an influence score of 58. They have posted 0.10k times, average 4.1m likes per post, and maintain an engagement rate of 0.17%%. Their latest posts average around 0 likes in total."
157,georginagio,74,0.73k,39.1m,2.2m,8.56%,3.3m,1.6b,N/A,"Influencer georginagio from N/A has 39.1m followers and an influence score of 74. They have posted 0.73k times, average 2.2m likes per post, and maintain an engagement rate of 8.56%%. Their latest posts average around 3.3m likes in total."
158,cznburak,80,1.8k,39.0m,815.8k,1.01%,383.3k,1.4b,N/A,"Influencer cznburak from N/A has 39.0m followers and an influence score of 80. They have posted 1.8k times, average 815.8k likes per post, and maintain an engagement rate of 1.01%%. Their latest posts average around 383.3k likes in total."
159,chrissyteigen,79,5.1k,38.9m,623.1k,0.43%,162.1k,3.2b,United States,"Influencer chrissyteigen from United States has 38.9m followers and an influence score of 79. They have posted 5.1k times, average 623.1k likes per post, and maintain an engagement rate of 0.43%%. Their latest posts average around 162.1k likes in total."
160,ruben_onsu,75,13.4k,38.8m,139.3k,0.13%,49.1k,1.9b,Indonesia,"Influencer ruben_onsu from Indonesia has 38.8m followers and an influence score of 75. They have posted 13.4k times, average 139.3k likes per post, and maintain an engagement rate of 0.13%%. Their latest posts average around 49.1k likes in total."
161,wizkhalifa,80,0.50k,38.7m,398.7k,0.31%,115.7k,199.8m,United States,"Influencer wizkhalifa from United States has 38.7m followers and an influence score of 80. They have posted 0.50k times, average 398.7k likes per post, and maintain an engagement rate of 0.31%%. Their latest posts average around 115.7k likes in total."
162,hm,83,7.3k,38.5m,88.4k,0.06%,22.4k,644.1m,Sweden,"Influencer hm from Sweden has 38.5m followers and an influence score of 83. They have posted 7.3k times, average 88.4k likes per post, and maintain an engagement rate of 0.06%%. Their latest posts average around 22.4k likes in total."
163,anushkasen0408,85,5.3k,38.3m,695.4k,1.75%,658.3k,3.7b,N/A,"Influencer anushkasen0408 from N/A has 38.3m followers and an influence score of 85. They have posted 5.3k times, average 695.4k likes per post, and maintain an engagement rate of 1.75%%. Their latest posts average around 658.3k likes in total."
164,prattprattpratt,84,0.73k,38.3m,813.5k,1.00%,363.8k,594.7m,N/A,"Influencer prattprattpratt from N/A has 38.3m followers and an influence score of 84. They have posted 0.73k times, average 813.5k likes per post, and maintain an engagement rate of 1.00%%. Their latest posts average around 363.8k likes in total."
165,marvelstudios,83,2.7k,38.1m,594.2k,1.58%,555.9k,1.6b,N/A,"Influencer marvelstudios from N/A has 38.1m followers and an influence score of 83. They have posted 2.7k times, average 594.2k likes per post, and maintain an engagement rate of 1.58%%. Their latest posts average around 555.9k likes in total."
166,wesleysafadao,80,8.9k,37.4m,256.1k,0.02%,0,2.3b,N/A,"Influencer wesleysafadao from N/A has 37.4m followers and an influence score of 80. They have posted 8.9k times, average 256.1k likes per post, and maintain an engagement rate of 0.02%%. Their latest posts average around 0 likes in total."
167,parineetichopra,84,1.3k,37.4m,505.7k,0.68%,246.9k,672.1m,N/A,"Influencer parineetichopra from N/A has 37.4m followers and an influence score of 84. They have posted 1.3k times, average 505.7k likes per post, and maintain an engagement rate of 0.68%%. Their latest posts average around 246.9k likes in total."
168,rkive,83,0.11k,37.0m,10.9m,NaN%,0,1.2b,N/A,"Influencer rkive from N/A has 37.0m followers and an influence score of 83. They have posted 0.11k times, average 10.9m likes per post, and maintain an engagement rate of NaN%%. Their latest posts average around 0 likes in total."
169,laudyacynthiabella,76,0.38k,36.9m,172.8k,0.12%,43.4k,66.7m,Indonesia,"Influencer laudyacynthiabella from Indonesia has 36.9m followers and an influence score of 76. They have posted 0.38k times, average 172.8k likes per post, and maintain an engagement rate of 0.12%%. Their latest posts average around 43.4k likes in total."
170,antogriezmann,83,0.87k,36.5m,1.1m,0.57%,203.6k,955.4m,France,"Influencer antogriezmann from France has 36.5m followers and an influence score of 83. They have posted 0.87k times, average 1.1m likes per post, and maintain an engagement rate of 0.57%%. Their latest posts average around 203.6k likes in total."
171,gisel_la,85,9.9k,36.5m,150.5k,0.10%,33.4k,1.5b,N/A,"Influencer gisel_la from N/A has 36.5m followers and an influence score of 85. They have posted 9.9k times, average 150.5k likes per post, and maintain an engagement rate of 0.10%%. Their latest posts average around 33.4k likes in total."
172,eminem,84,0.66k,36.4m,1.1m,2.69%,962.7k,730.1m,United States,"Influencer eminem from United States has 36.4m followers and an influence score of 84. They have posted 0.66k times, average 1.1m likes per post, and maintain an engagement rate of 2.69%%. Their latest posts average around 962.7k likes in total."
173,mercedesbenz,77,10.0k,36.0m,197.9k,0.18%,64.6k,2.0b,British Virgin Islands,"Influencer mercedesbenz from British Virgin Islands has 36.0m followers and an influence score of 77. They have posted 10.0k times, average 197.9k likes per post, and maintain an engagement rate of 0.18%%. Their latest posts average around 64.6k likes in total."
174,colesprouse,81,1.2k,35.9m,2.2m,2.34%,834.5k,2.6b,N/A,"Influencer colesprouse from N/A has 35.9m followers and an influence score of 81. They have posted 1.2k times, average 2.2m likes per post, and maintain an engagement rate of 2.34%%. Their latest posts average around 834.5k likes in total."
175,nattinatasha,47,0.03k,35.9m,518.1k,0.80%,285.9k,18.7m,Czech Republic,"Influencer nattinatasha from Czech Republic has 35.9m followers and an influence score of 47. They have posted 0.03k times, average 518.1k likes per post, and maintain an engagement rate of 0.80%%. Their latest posts average around 285.9k likes in total."
176,shahidkapoor,82,1.1k,35.6m,1.3m,2.54%,780.0k,1.5b,N/A,"Influencer shahidkapoor from N/A has 35.6m followers and an influence score of 82. They have posted 1.1k times, average 1.3m likes per post, and maintain an engagement rate of 2.54%%. Their latest posts average around 780.0k likes in total."
177,tigerjackieshroff,83,2.1k,35.6m,1.1m,1.20%,422.9k,2.2b,India,"Influencer tigerjackieshroff from India has 35.6m followers and an influence score of 83. They have posted 2.1k times, average 1.1m likes per post, and maintain an engagement rate of 1.20%%. Their latest posts average around 422.9k likes in total."
178,kimberly.loaiza,78,0.59k,35.5m,2.6m,5.23%,1.8m,1.6b,Mexico,"Influencer kimberly.loaiza from Mexico has 35.5m followers and an influence score of 78. They have posted 0.59k times, average 2.6m likes per post, and maintain an engagement rate of 5.23%%. Their latest posts average around 1.8m likes in total."
179,barackobama,81,0.66k,35.4m,1.1m,1.19%,411.5k,739.5m,United States,"Influencer barackobama from United States has 35.4m followers and an influence score of 81. They have posted 0.66k times, average 1.1m likes per post, and maintain an engagement rate of 1.19%%. Their latest posts average around 411.5k likes in total."
180,sachintendulkar,76,1.0k,35.3m,800.4k,2.03%,664.5k,810.0m,N/A,"Influencer sachintendulkar from N/A has 35.3m followers and an influence score of 76. They have posted 1.0k times, average 800.4k likes per post, and maintain an engagement rate of 2.03%%. Their latest posts average around 664.5k likes in total."
181,simonemendes,72,4.4k,35.0m,420.0k,0.65%,222.9k,1.9b,Brazil,"Influencer simonemendes from Brazil has 35.0m followers and an influence score of 72. They have posted 4.4k times, average 420.0k likes per post, and maintain an engagement rate of 0.65%%. Their latest posts average around 222.9k likes in total."
182,ivetesangalo,84,7.6k,34.8m,226.4k,0.36%,121.1k,1.7b,Brazil,"Influencer ivetesangalo from Brazil has 34.8m followers and an influence score of 84. They have posted 7.6k times, average 226.4k likes per post, and maintain an engagement rate of 0.36%%. Their latest posts average around 121.1k likes in total."
183,lunamaya,83,4.1k,34.8m,145.4k,0.17%,58.6k,589.6m,N/A,"Influencer lunamaya from N/A has 34.8m followers and an influence score of 83. They have posted 4.1k times, average 145.4k likes per post, and maintain an engagement rate of 0.17%%. Their latest posts average around 58.6k likes in total."
184,toni.kr8s,83,0.94k,34.7m,597.2k,1.68%,533.5k,561.3m,N/A,"Influencer toni.kr8s from N/A has 34.7m followers and an influence score of 83. They have posted 0.94k times, average 597.2k likes per post, and maintain an engagement rate of 1.68%%. Their latest posts average around 533.5k likes in total."
185,dannapaola,68,1.9k,34.7m,1.5m,3.49%,1.2m,2.8b,Mexico,"Influencer dannapaola from Mexico has 34.7m followers and an influence score of 68. They have posted 1.9k times, average 1.5m likes per post, and maintain an engagement rate of 3.49%%. Their latest posts average around 1.2m likes in total."
186,paollaoliveirareal,84,4.6k,34.7m,367.8k,0.57%,192.3k,1.7b,N/A,"Influencer paollaoliveirareal from N/A has 34.7m followers and an influence score of 84. They have posted 4.6k times, average 367.8k likes per post, and maintain an engagement rate of 0.57%%. Their latest posts average around 192.3k likes in total."
187,blakelively,80,0.11k,34.6m,3.1m,0.02%,0,350.9m,United States,"Influencer blakelively from United States has 34.6m followers and an influence score of 80. They have posted 0.11k times, average 3.1m likes per post, and maintain an engagement rate of 0.02%%. Their latest posts average around 0 likes in total."
188,adidasoriginals,83,0.15k,34.2m,136.2k,0.20%,66.8k,21.2m,N/A,"Influencer adidasoriginals from N/A has 34.2m followers and an influence score of 83. They have posted 0.15k times, average 136.2k likes per post, and maintain an engagement rate of 0.20%%. Their latest posts average around 66.8k likes in total."
189,disney,77,7.3k,34.2m,185.2k,0.44%,132.0k,1.4b,United States,"Influencer disney from United States has 34.2m followers and an influence score of 77. They have posted 7.3k times, average 185.2k likes per post, and maintain an engagement rate of 0.44%%. Their latest posts average around 132.0k likes in total."
190,shaymitchell,83,6.3k,34.1m,732.4k,0.73%,247.5k,4.6b,United States,"Influencer shaymitchell from United States has 34.1m followers and an influence score of 83. They have posted 6.3k times, average 732.4k likes per post, and maintain an engagement rate of 0.73%%. Their latest posts average around 247.5k likes in total."
191,bmw,79,9.3k,33.7m,231.3k,0.23%,76.5k,2.2b,Germany,"Influencer bmw from Germany has 33.7m followers and an influence score of 79. They have posted 9.3k times, average 231.3k likes per post, and maintain an engagement rate of 0.23%%. Their latest posts average around 76.5k likes in total."
192,danbilzerian,84,1.4k,33.6m,2.0m,3.58%,1.2m,2.8b,Canada,"Influencer danbilzerian from Canada has 33.6m followers and an influence score of 84. They have posted 1.4k times, average 2.0m likes per post, and maintain an engagement rate of 3.58%%. Their latest posts average around 1.2m likes in total."
193,khabib_nurmagomedov,63,4.5k,33.5m,685.1k,0.67%,220.7k,3.1b,Russia,"Influencer khabib_nurmagomedov from Russia has 33.5m followers and an influence score of 63. They have posted 4.5k times, average 685.1k likes per post, and maintain an engagement rate of 0.67%%. Their latest posts average around 220.7k likes in total."
194,zidane,41,0.37k,33.5m,1.1m,1.61%,532.7k,391.9m,France,"Influencer zidane from France has 33.5m followers and an influence score of 41. They have posted 0.37k times, average 1.1m likes per post, and maintain an engagement rate of 1.61%%. Their latest posts average around 532.7k likes in total."
195,sonamkapoor,75,4.8k,33.3m,264.7k,0.63%,209.2k,1.3b,India,"Influencer sonamkapoor from India has 33.3m followers and an influence score of 75. They have posted 4.8k times, average 264.7k likes per post, and maintain an engagement rate of 0.63%%. Their latest posts average around 209.2k likes in total."
196,iambeckyg,71,2.3k,33.2m,623.8k,1.40%,464.7k,1.4b,United States,"Influencer iambeckyg from United States has 33.2m followers and an influence score of 71. They have posted 2.3k times, average 623.8k likes per post, and maintain an engagement rate of 1.40%%. Their latest posts average around 464.7k likes in total."
197,nancyajram,81,3.8k,33.2m,390.4k,0.64%,208.0k,1.5b,France,"Influencer nancyajram from France has 33.2m followers and an influence score of 81. They have posted 3.8k times, average 390.4k likes per post, and maintain an engagement rate of 0.64%%. Their latest posts average around 208.0k likes in total."
198,luansantana,79,0.77k,33.2m,193.3k,0.26%,82.6k,149.2m,Brazil,"Influencer luansantana from Brazil has 33.2m followers and an influence score of 79. They have posted 0.77k times, average 193.3k likes per post, and maintain an engagement rate of 0.26%%. Their latest posts average around 82.6k likes in total."
199,nickjonas,78,2.3k,33.0m,719.6k,1.42%,467.7k,1.7b,United States,"Influencer nickjonas from United States has 33.0m followers and an influence score of 78. They have posted 2.3k times, average 719.6k likes per post, and maintain an engagement rate of 1.42%%. Their latest posts average around 467.7k likes in total."
200,raisa6690,80,4.2k,32.8m,232.2k,0.30%,97.4k,969.1m,Indonesia,"Influencer raisa6690 from Indonesia has 32.8m followers and an influence score of 80. They have posted 4.2k times, average 232.2k likes per post, and maintain an engagement rate of 0.30%%. Their latest posts average around 97.4k likes in total."
